solid_SIDIS_hgc_conein_11  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_11  |-170.20728550766*cm -123.662814774204*cm 350.027815385814*cm  |      ordered: zxy -216*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_11  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_11  |-170.20728550766*cm -123.662814774204*cm 350.027815385814*cm  |      ordered: zxy -216*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_11 - solid_SIDIS_hgc_conein_11  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2211002 
solid_SIDIS_hgc_coneout_12  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_12  |-140.776903594322*cm -156.348569587829*cm 350.027815385814*cm  |      ordered: zxy -228*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_12  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_12  |-140.776903594322*cm -156.348569587829*cm 350.027815385814*cm  |      ordered: zxy -228*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_12  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_12  |-140.776903594322*cm -156.348569587829*cm 350.027815385814*cm  |      ordered: zxy -228*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_12 - solid_SIDIS_hgc_conein_12  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2212002 
solid_SIDIS_hgc_coneout_13  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_13  |-105.193895680518*cm -182.20114189906*cm 350.027815385814*cm  |      ordered: zxy -240*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_13  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_13  |-105.193895680518*cm -182.20114189906*cm 350.027815385814*cm  |      ordered: zxy -240*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_13  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_13  |-105.193895680518*cm -182.20114189906*cm 350.027815385814*cm  |      ordered: zxy -240*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_13 - solid_SIDIS_hgc_conein_13  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2213002 
solid_SIDIS_hgc_coneout_14  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_14  |-65.0134099054357*cm -200.090650281898*cm 350.027815385814*cm  |      ordered: zxy -252*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_14  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_14  |-65.0134099054357*cm -200.090650281898*cm 350.027815385814*cm  |      ordered: zxy -252*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_14  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_14  |-65.0134099054357*cm -200.090650281898*cm 350.027815385814*cm  |      ordered: zxy -252*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_14 - solid_SIDIS_hgc_conein_14  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2214002 
solid_SIDIS_hgc_coneout_15  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_15  |-21.9915262451158*cm -209.235237403205*cm 350.027815385814*cm  |      ordered: zxy -264*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_15  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_15  |-21.9915262451158*cm -209.235237403205*cm 350.027815385814*cm  |      ordered: zxy -264*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_15  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_15  |-21.9915262451158*cm -209.235237403205*cm 350.027815385814*cm  |      ordered: zxy -264*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_15 - solid_SIDIS_hgc_conein_15  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2215002 
solid_SIDIS_hgc_coneout_16  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_16  |21.9914926064962*cm -209.235240938766*cm 350.027815385814*cm  |      ordered: zxy -276*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
