solid_DDVCS_muon_forwardangle_pat_0_1_13  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_13  |                         -430.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100113 
solid_DDVCS_muon_forwardangle_pat_0_1_14  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_14  |                         -420.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100114 
solid_DDVCS_muon_forwardangle_pat_0_1_15  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_15  |                         -410.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100115 
solid_DDVCS_muon_forwardangle_pat_0_1_16  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_16  |                         -480.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100116 
solid_DDVCS_muon_forwardangle_pat_0_1_17  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_17  |                         -470.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100117 
solid_DDVCS_muon_forwardangle_pat_0_1_18  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_18  |                         -460.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100118 
solid_DDVCS_muon_forwardangle_pat_0_1_19  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_19  |                         -450.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100119 
solid_DDVCS_muon_forwardangle_pat_0_1_20  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_20  |                         -440.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100120 
solid_DDVCS_muon_forwardangle_pat_0_1_21  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_21  |                         -430.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100121 
solid_DDVCS_muon_forwardangle_pat_0_1_22  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_22  |                         -420.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100122 
solid_DDVCS_muon_forwardangle_pat_0_1_23  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_23  |                         -410.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100123 
solid_DDVCS_muon_forwardangle_pat_0_2_0  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_0  |                         -399.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100200 
solid_DDVCS_muon_forwardangle_pat_0_2_1  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_1  |                         -389.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100201 
solid_DDVCS_muon_forwardangle_pat_0_2_2  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_2  |                         -379.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100202 
solid_DDVCS_muon_forwardangle_pat_0_2_3  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_3  |                         -369.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100203 
solid_DDVCS_muon_forwardangle_pat_0_2_4  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_4  |                         -359.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100204 
solid_DDVCS_muon_forwardangle_pat_0_2_5  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_5  |                         -349.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100205 
solid_DDVCS_muon_forwardangle_pat_0_2_6  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_6  |                         -339.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100206 
solid_DDVCS_muon_forwardangle_pat_0_2_7  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_7  |                         -329.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100207 
solid_DDVCS_muon_forwardangle_pat_0_2_8  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_8  |                         -399.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100208 
solid_DDVCS_muon_forwardangle_pat_0_2_9  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_9  |                         -389.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100209 
