      solid_mrpc16_1  |          cc_pro_tcd  |16-channel MRPC module 1 mother volume  |                              0*cm 0*cm -128.51*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                    19.2*cm 15.45*cm 1.75*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_42  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                 0*cm 2.45*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_43  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                 0*cm 4.15*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_44  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                 0*cm 5.85*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_45  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                 0*cm 7.55*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_46  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                 0*cm 9.25*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_47  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                0*cm 10.95*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_48  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                0*cm 12.65*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_honeycomb_1  |      solid_mrpc16_1  |      MRPC16 honeycomb support  |                             0*cm 0*cm 1.195625*cm  |                       0*deg 0*deg 0*deg  | ffaa00   |                 Box  |                                19.2*cm 15.45*cm 0.514375*cm  |           honeycomb  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_honeycomb_2  |      solid_mrpc16_1  |      MRPC16 honeycomb support  |                            0*cm 0*cm -1.195625*cm  |                       0*deg 0*deg 0*deg  | ffaa00   |                 Box  |                                19.2*cm 15.45*cm 0.514375*cm  |           honeycomb  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_gap_1  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                             0*cm 0*cm -0.18975*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 1 component manual 1 
