solid_ccprototype_pmt_backend_6  |solid_ccprototype_pmt_6  |solid_ccprototype_pmt_backend_6  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_7  |solid_ccprototype_gas  |       solid_ccprototype_pmt_7  |-158.520360049193*cm 33.6945509737081*cm 400.672010724486*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_7  |solid_ccprototype_pmt_7  |solid_ccprototype_pmt_surface_7  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2270000 
solid_ccprototype_pmt_backend_7  |solid_ccprototype_pmt_7  |solid_ccprototype_pmt_backend_7  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_8  |solid_ccprototype_gas  |       solid_ccprototype_pmt_8  |-162.061800913866*cm 8.68485839174109e-06*cm 400.672010724486*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_8  |solid_ccprototype_pmt_8  |solid_ccprototype_pmt_surface_8  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2280000 
solid_ccprototype_pmt_backend_8  |solid_ccprototype_pmt_8  |solid_ccprototype_pmt_backend_8  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_9  |solid_ccprototype_gas  |       solid_ccprototype_pmt_9  |-158.52036366056*cm -33.6945339835614*cm 400.672010724486*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_9  |solid_ccprototype_pmt_9  |solid_ccprototype_pmt_surface_9  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2290000 
solid_ccprototype_pmt_backend_9  |solid_ccprototype_pmt_9  |solid_ccprototype_pmt_backend_9  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
