y10_x4	| -162.052	| cm | - |  - | - | - | - | - | - 
y10_x5	| -150.876	| cm | - |  - | - | - | - | - | - 
y10_x6	| -139.7	| cm | - |  - | - | - | - | - | - 
y10_x7	| -128.524	| cm | - |  - | - | - | - | - | - 
y10_x8	| -117.348	| cm | - |  - | - | - | - | - | - 
y10_x9	| -106.172	| cm | - |  - | - | - | - | - | - 
y10_x10	| -94.996	| cm | - |  - | - | - | - | - | - 
y10_x11	| -83.82	| cm | - |  - | - | - | - | - | - 
y10_x12	| -72.644	| cm | - |  - | - | - | - | - | - 
y10_x13	| -61.468	| cm | - |  - | - | - | - | - | - 
y10_x14	| -50.292	| cm | - |  - | - | - | - | - | - 
y10_x15	| -39.116	| cm | - |  - | - | - | - | - | - 
y10_x16	| -27.94	| cm | - |  - | - | - | - | - | - 
y10_x17	| -16.764	| cm | - |  - | - | - | - | - | - 
y10_x18	| -5.588	| cm | - |  - | - | - | - | - | - 
y10_x19	| 5.588	| cm | - |  - | - | - | - | - | - 
y10_x20	| 16.764	| cm | - |  - | - | - | - | - | - 
y10_x21	| 27.94	| cm | - |  - | - | - | - | - | - 
y10_x22	| 39.116	| cm | - |  - | - | - | - | - | - 
y10_x23	| 50.292	| cm | - |  - | - | - | - | - | - 
y10_x24	| 61.468	| cm | - |  - | - | - | - | - | - 
y10_x25	| 72.644	| cm | - |  - | - | - | - | - | - 
y10_x26	| 83.82	| cm | - |  - | - | - | - | - | - 
y10_x27	| 94.996	| cm | - |  - | - | - | - | - | - 
y10_x28	| 106.172	| cm | - |  - | - | - | - | - | - 
y10_x29	| 117.348	| cm | - |  - | - | - | - | - | - 
y10_x30	| 128.524	| cm | - |  - | - | - | - | - | - 
y10_x31	| 139.7	| cm | - |  - | - | - | - | - | - 
y10_x32	| 150.876	| cm | - |  - | - | - | - | - | - 
y10_x33	| 162.052	| cm | - |  - | - | - | - | - | - 
y10_x34	| 173.228	| cm | - |  - | - | - | - | - | - 
y10_x35	| 184.404	| cm | - |  - | - | - | - | - | - 
y10_x36	| 195.58	| cm | - |  - | - | - | - | - | - 
y10_x37	| 206.756	| cm | - |  - | - | - | - | - | - 
num_y11	| 37	| - | - | - |  - | - | - | - | - 
y11	| -150.02	| cm | - |  - | - | - | - | - | - 
y11_x0	| -201.168	| cm | - |  - | - | - | - | - | - 
y11_x1	| -189.992	| cm | - |  - | - | - | - | - | - 
y11_x2	| -178.816	| cm | - |  - | - | - | - | - | - 
y11_x3	| -167.64	| cm | - |  - | - | - | - | - | - 
y11_x4	| -156.464	| cm | - |  - | - | - | - | - | - 
y11_x5	| -145.288	| cm | - |  - | - | - | - | - | - 
y11_x6	| -134.112	| cm | - |  - | - | - | - | - | - 
y11_x7	| -122.936	| cm | - |  - | - | - | - | - | - 
y11_x8	| -111.76	| cm | - |  - | - | - | - | - | - 
y11_x9	| -100.584	| cm | - |  - | - | - | - | - | - 
y11_x10	| -89.408	| cm | - |  - | - | - | - | - | - 
y11_x11	| -78.232	| cm | - |  - | - | - | - | - | - 
y11_x12	| -67.056	| cm | - |  - | - | - | - | - | - 
y11_x13	| -55.88	| cm | - |  - | - | - | - | - | - 
y11_x14	| -44.704	| cm | - |  - | - | - | - | - | - 
