idymax	| 54	| - | - | - |  - | - | - | - | - 
x_idy8_idx10_id161_sector21_status1	| -78.232	| cm | - |  - | - | - | - | - | - 
x_idy8_idx11_id162_sector21_status1	| -67.056	| cm | - |  - | - | - | - | - | - 
x_idy8_idx12_id163_sector22_status1	| -55.88	| cm | - |  - | - | - | - | - | - 
x_idy8_idx13_id164_sector22_status1	| -44.704	| cm | - |  - | - | - | - | - | - 
x_idy8_idx14_id165_sector22_status1	| -33.528	| cm | - |  - | - | - | - | - | - 
x_idy8_idx15_id166_sector22_status1	| -22.352	| cm | - |  - | - | - | - | - | - 
x_idy8_idx16_id167_sector23_status1	| -11.176	| cm | - |  - | - | - | - | - | - 
x_idy8_idx17_id168_sector23_status1	| 0	| cm | - |  - | - | - | - | - | - 
x_idy8_idx18_id169_sector23_status1	| 11.176	| cm | - |  - | - | - | - | - | - 
x_idy8_idx19_id170_sector24_status1	| 22.352	| cm | - |  - | - | - | - | - | - 
x_idy8_idx20_id171_sector24_status1	| 33.528	| cm | - |  - | - | - | - | - | - 
x_idy8_idx21_id172_sector24_status1	| 44.704	| cm | - |  - | - | - | - | - | - 
x_idy8_idx22_id173_sector24_status1	| 55.88	| cm | - |  - | - | - | - | - | - 
x_idy8_idx23_id174_sector25_status1	| 67.056	| cm | - |  - | - | - | - | - | - 
x_idy8_idx24_id175_sector25_status1	| 78.232	| cm | - |  - | - | - | - | - | - 
x_idy8_idx25_id176_sector25_status1	| 89.408	| cm | - |  - | - | - | - | - | - 
x_idy8_idx26_id177_sector25_status1	| 100.584	| cm | - |  - | - | - | - | - | - 
x_idy8_idx27_id178_sector26_status1	| 111.76	| cm | - |  - | - | - | - | - | - 
x_idy8_idx28_id179_sector26_status1	| 122.936	| cm | - |  - | - | - | - | - | - 
x_idy8_idx29_id180_sector26_status1	| 134.112	| cm | - |  - | - | - | - | - | - 
x_idy8_idx30_id181_sector26_status1	| 145.288	| cm | - |  - | - | - | - | - | - 
x_idy8_idx31_id182_sector26_status1	| 156.464	| cm | - |  - | - | - | - | - | - 
x_idy8_idx32_id183_sector26_status1	| 167.64	| cm | - |  - | - | - | - | - | - 
x_idy8_idx33_id184_sector27_status1	| 178.816	| cm | - |  - | - | - | - | - | - 
idxmax_idy9	| 34	| - | - | - |  - | - | - | - | - 
y_idy9	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy9_idx1_id185_sector19_status1	| -184.404	| cm | - |  - | - | - | - | - | - 
x_idy9_idx2_id186_sector19_status1	| -173.228	| cm | - |  - | - | - | - | - | - 
x_idy9_idx3_id187_sector19_status1	| -162.052	| cm | - |  - | - | - | - | - | - 
x_idy9_idx4_id188_sector20_status1	| -150.876	| cm | - |  - | - | - | - | - | - 
x_idy9_idx5_id189_sector20_status1	| -139.7	| cm | - |  - | - | - | - | - | - 
x_idy9_idx6_id190_sector20_status1	| -128.524	| cm | - |  - | - | - | - | - | - 
x_idy9_idx7_id191_sector20_status1	| -117.348	| cm | - |  - | - | - | - | - | - 
x_idy9_idx8_id192_sector20_status1	| -106.172	| cm | - |  - | - | - | - | - | - 
x_idy9_idx9_id193_sector21_status1	| -94.996	| cm | - |  - | - | - | - | - | - 
x_idy9_idx10_id194_sector21_status1	| -83.82	| cm | - |  - | - | - | - | - | - 
x_idy9_idx11_id195_sector21_status1	| -72.644	| cm | - |  - | - | - | - | - | - 
x_idy9_idx12_id196_sector21_status1	| -61.468	| cm | - |  - | - | - | - | - | - 
x_idy9_idx13_id197_sector22_status1	| -50.292	| cm | - |  - | - | - | - | - | - 
x_idy9_idx14_id198_sector22_status1	| -39.116	| cm | - |  - | - | - | - | - | - 
x_idy9_idx15_id199_sector22_status1	| -27.94	| cm | - |  - | - | - | - | - | - 
x_idy9_idx16_id200_sector23_status1	| -16.764	| cm | - |  - | - | - | - | - | - 
x_idy9_idx17_id201_sector23_status1	| -5.588	| cm | - |  - | - | - | - | - | - 
x_idy9_idx18_id202_sector23_status1	| 5.588	| cm | - |  - | - | - | - | - | - 
x_idy9_idx19_id203_sector23_status1	| 16.764	| cm | - |  - | - | - | - | - | - 
x_idy9_idx20_id204_sector24_status1	| 27.94	| cm | - |  - | - | - | - | - | - 
x_idy9_idx21_id205_sector24_status1	| 39.116	| cm | - |  - | - | - | - | - | - 
x_idy9_idx22_id206_sector24_status1	| 50.292	| cm | - |  - | - | - | - | - | - 
x_idy9_idx23_id207_sector25_status1	| 61.468	| cm | - |  - | - | - | - | - | - 
x_idy9_idx24_id208_sector25_status1	| 72.644	| cm | - |  - | - | - | - | - | - 
x_idy9_idx25_id209_sector25_status1	| 83.82	| cm | - |  - | - | - | - | - | - 
x_idy9_idx26_id210_sector25_status1	| 94.996	| cm | - |  - | - | - | - | - | - 
x_idy9_idx27_id211_sector26_status1	| 106.172	| cm | - |  - | - | - | - | - | - 
x_idy9_idx28_id212_sector26_status1	| 117.348	| cm | - |  - | - | - | - | - | - 
x_idy9_idx29_id213_sector26_status1	| 128.524	| cm | - |  - | - | - | - | - | - 
x_idy9_idx30_id214_sector26_status1	| 139.7	| cm | - |  - | - | - | - | - | - 
x_idy9_idx31_id215_sector26_status1	| 150.876	| cm | - |  - | - | - | - | - | - 
x_idy9_idx32_id216_sector27_status1	| 162.052	| cm | - |  - | - | - | - | - | - 
x_idy9_idx33_id217_sector27_status1	| 173.228	| cm | - |  - | - | - | - | - | - 
x_idy9_idx34_id218_sector27_status1	| 184.404	| cm | - |  - | - | - | - | - | - 
idxmax_idy10	| 37	| - | - | - |  - | - | - | - | - 
y_idy10	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy10_idx1_id219_sector19_status1	| -201.168	| cm | - |  - | - | - | - | - | - 
x_idy10_idx2_id220_sector19_status1	| -189.992	| cm | - |  - | - | - | - | - | - 
x_idy10_idx3_id221_sector19_status1	| -178.816	| cm | - |  - | - | - | - | - | - 
x_idy10_idx4_id222_sector19_status1	| -167.64	| cm | - |  - | - | - | - | - | - 
x_idy10_idx5_id223_sector19_status1	| -156.464	| cm | - |  - | - | - | - | - | - 
x_idy10_idx6_id224_sector20_status1	| -145.288	| cm | - |  - | - | - | - | - | - 
x_idy10_idx7_id225_sector20_status1	| -134.112	| cm | - |  - | - | - | - | - | - 
x_idy10_idx8_id226_sector20_status1	| -122.936	| cm | - |  - | - | - | - | - | - 
