solid_DDVCS_muon_gem_forwardangle_1_2_12  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_12  |                                 0*cm 0*cm 0.47*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102012 
solid_DDVCS_muon_gem_forwardangle_1_2_13  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_13  |                               0*cm 0*cm 0.4975*mm  |                    0*deg 0*deg -108*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102013 
solid_DDVCS_muon_gem_forwardangle_1_2_14  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_14  |                                0*cm 0*cm 0.525*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102014 
solid_DDVCS_muon_gem_forwardangle_1_2_15  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_15  |                               0*cm 0*cm 1.5275*mm  |                    0*deg 0*deg -108*deg  | ff33fc   |                Tube  |                            100*cm 285*cm 1*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102015 
solid_DDVCS_muon_gem_forwardangle_1_2_16  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_16  |                                 0*cm 0*cm 2.53*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102016 
solid_DDVCS_muon_gem_forwardangle_1_2_17  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_17  |                               0*cm 0*cm 2.5575*mm  |                    0*deg 0*deg -108*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102017 
solid_DDVCS_muon_gem_forwardangle_1_2_18  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_18  |                                0*cm 0*cm 2.585*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102018 
solid_DDVCS_muon_gem_forwardangle_1_2_19  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_19  |                               0*cm 0*cm 3.5875*mm  |                    0*deg 0*deg -108*deg  | ff33fc   |                Tube  |                            100*cm 285*cm 1*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102019 
solid_DDVCS_muon_gem_forwardangle_1_2_20  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_20  |                               0*cm 0*cm 4.5925*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                        100*cm 285*cm 0.005*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102020 
solid_DDVCS_muon_gem_forwardangle_1_2_21  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_21  |                               0*cm 0*cm 4.6225*mm  |                    0*deg 0*deg -108*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102021 
solid_DDVCS_muon_gem_forwardangle_1_2_22  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_22  |                               0*cm 0*cm 4.7375*mm  |                    0*deg 0*deg -108*deg  | 00ffdd   |                Tube  |                         100*cm 285*cm 0.09*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102022 
solid_DDVCS_muon_gem_forwardangle_1_2_23  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_23  |                               0*cm 0*cm 6.3275*mm  |                    0*deg 0*deg -108*deg  | 00ff11   |                Tube  |                          100*cm 285*cm 1.5*mm -6*deg 12*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102023 
solid_DDVCS_muon_gem_forwardangle_1_2_24  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_24  |                                 0*cm 0*cm 7.89*mm  |                    0*deg 0*deg -108*deg  | 00ffdd   |                Tube  |                       100*cm 285*cm 0.0625*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102024 
solid_DDVCS_muon_gem_forwardangle_1_2_25  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_25  |                               0*cm 0*cm 7.9775*mm  |                    0*deg 0*deg -108*deg  | 00ff00   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102025 
